year,disposition,not_requested_pct,not_requested_ct,requested_pct,requested_ct
2018.0,OPEN,0.7104730759637502,,,
2018.0,CLOSED,0.2843305711831056,,,
2018.0,UNFOUNDED,0.00519635285314414,,,
2019.0,OPEN,0.7406897151806949,,,
2019.0,CLOSED,0.2526683682348164,,,
2019.0,UNFOUNDED,0.006641916584488659,,,
2020.0,OPEN,0.8166439242853644,,,
2020.0,CLOSED,0.17691823239214863,,,
2020.0,UNFOUNDED,0.006437843322486967,,,
2021.0,OPEN,0.8313875564334086,,,
2021.0,CLOSED,0.15871896162528218,,,
2021.0,UNFOUNDED,0.009893481941309255,,,
2022.0,OPEN,0.8454283853893172,,,
2022.0,CLOSED,0.14541368228696255,,,
2022.0,UNFOUNDED,0.009157932323720305,,,
2018.0,OPEN,,51272.0,,
2018.0,CLOSED,,20519.0,,
2018.0,UNFOUNDED,,375.0,,
2019.0,OPEN,,51075.0,,
2019.0,CLOSED,,17423.0,,
2019.0,UNFOUNDED,,458.0,,
2020.0,OPEN,,46681.0,,
2020.0,CLOSED,,10113.0,,
2020.0,UNFOUNDED,,368.0,,
2021.0,OPEN,,47143.0,,
2021.0,CLOSED,,9000.0,,
2021.0,UNFOUNDED,,561.0,,
2022.0,OPEN,,40250.0,,
2022.0,CLOSED,,6923.0,,
2022.0,UNFOUNDED,,436.0,,
2018.0,OPEN,,,0.7104730759637502,
2018.0,CLOSED,,,0.2843305711831056,
2018.0,UNFOUNDED,,,0.00519635285314414,
2019.0,OPEN,,,0.7406897151806949,
2019.0,CLOSED,,,0.2526683682348164,
2019.0,UNFOUNDED,,,0.006641916584488659,
2020.0,OPEN,,,0.8166439242853644,
2020.0,CLOSED,,,0.17691823239214863,
2020.0,UNFOUNDED,,,0.006437843322486967,
2021.0,OPEN,,,0.8313875564334086,
2021.0,CLOSED,,,0.15871896162528218,
2021.0,UNFOUNDED,,,0.009893481941309255,
2022.0,OPEN,,,0.8454283853893172,
2022.0,CLOSED,,,0.14541368228696255,
2022.0,UNFOUNDED,,,0.009157932323720305,
2018.0,OPEN,,,,51272.0
2018.0,CLOSED,,,,20519.0
2018.0,UNFOUNDED,,,,375.0
2019.0,OPEN,,,,51075.0
2019.0,CLOSED,,,,17423.0
2019.0,UNFOUNDED,,,,458.0
2020.0,OPEN,,,,46681.0
2020.0,CLOSED,,,,10113.0
2020.0,UNFOUNDED,,,,368.0
2021.0,OPEN,,,,47143.0
2021.0,CLOSED,,,,9000.0
2021.0,UNFOUNDED,,,,561.0
2022.0,OPEN,,,,40250.0
2022.0,CLOSED,,,,6923.0
2022.0,UNFOUNDED,,,,436.0
