offender_race,signal_description,rtcc_requested,rtcc_requested
amer. ind.,AGGRAVATED ASSAULT,no,1
hispanic,AGGRAVATED ASSAULT,yes,5
hispanic,AGGRAVATED ASSAULT,no,40
unknown,AGGRAVATED ASSAULT,no,135
unknown,AGGRAVATED ASSAULT,yes,32
white,AGGRAVATED ASSAULT,no,217
black,AGGRAVATED ASSAULT,yes,281
black,AGGRAVATED ASSAULT,no,2043
white,AGGRAVATED ASSAULT,yes,24
asian,AGGRAVATED ASSAULT,no,10
asian,AGGRAVATED ASSAULT,yes,1
black,AGGRAVATED BATTERY,no,336
black,AGGRAVATED BATTERY,yes,48
white,AGGRAVATED BATTERY,no,45
hispanic,AGGRAVATED BATTERY,no,9
asian,AGGRAVATED BATTERY,no,3
unknown,AGGRAVATED BATTERY,no,22
unknown,AGGRAVATED BATTERY,yes,2
white,AGGRAVATED BATTERY,yes,13
white,AGGRAVATED BATTERY (CUTTING),no,78
amer. ind.,AGGRAVATED BATTERY (CUTTING),no,1
unknown,AGGRAVATED BATTERY (CUTTING),yes,9
asian,AGGRAVATED BATTERY (CUTTING),no,1
black,AGGRAVATED BATTERY (CUTTING),yes,89
black,AGGRAVATED BATTERY (CUTTING),no,599
white,AGGRAVATED BATTERY (CUTTING),yes,11
unknown,AGGRAVATED BATTERY (CUTTING),no,32
hispanic,AGGRAVATED BATTERY (CUTTING),no,20
unknown,AGGRAVATED BATTERY (SHOOTING),no,237
unknown,AGGRAVATED BATTERY (SHOOTING),yes,159
native hawaiian or other pacific islander,AGGRAVATED BATTERY (SHOOTING),no,1
white,AGGRAVATED BATTERY (SHOOTING),no,15
hispanic,AGGRAVATED BATTERY (SHOOTING),yes,3
hispanic,AGGRAVATED BATTERY (SHOOTING),no,2
white,AGGRAVATED BATTERY (SHOOTING),yes,7
asian,AGGRAVATED BATTERY (SHOOTING),yes,1
black,AGGRAVATED BATTERY (SHOOTING),no,390
black,AGGRAVATED BATTERY (SHOOTING),yes,303
black,AGGRAVATED CRIMINAL DAMAGE,no,203
white,AGGRAVATED CRIMINAL DAMAGE,no,10
white,AGGRAVATED CRIMINAL DAMAGE,yes,1
unknown,AGGRAVATED CRIMINAL DAMAGE,yes,43
black,AGGRAVATED CRIMINAL DAMAGE,yes,46
unknown,AGGRAVATED CRIMINAL DAMAGE,no,289
hispanic,AGGRAVATED CRIMINAL DAMAGE,no,2
white,ARMED CARJACKING,yes,2
white,ARMED CARJACKING,no,3
black,ARMED CARJACKING,yes,175
black,ARMED CARJACKING,no,235
asian,ARMED CARJACKING,no,3
unknown,ARMED CARJACKING,yes,26
unknown,ARMED CARJACKING,no,37
hispanic,ARMED ROBBERY,no,2
unknown,ARMED ROBBERY,no,6
unknown,ARMED ROBBERY,yes,3
black,ARMED ROBBERY,no,83
black,ARMED ROBBERY,yes,43
white,ARMED ROBBERY,no,10
white,ARMED ROBBERY,yes,3
asian,ARMED ROBBERY (GUN),no,1
hispanic,ARMED ROBBERY (GUN),no,2
hispanic,ARMED ROBBERY (GUN),yes,2
black,ARMED ROBBERY (GUN),yes,391
unknown,ARMED ROBBERY (GUN),no,41
white,ARMED ROBBERY (GUN),no,30
black,ARMED ROBBERY (GUN),no,849
unknown,ARMED ROBBERY (GUN),yes,15
white,ARMED ROBBERY (GUN),yes,10
white,ARMED ROBBERY (KNIFE),yes,5
white,ARMED ROBBERY (KNIFE),no,15
hispanic,ARMED ROBBERY (KNIFE),yes,1
unknown,ARMED ROBBERY (KNIFE),no,2
hispanic,ARMED ROBBERY (KNIFE),no,5
black,ARMED ROBBERY (KNIFE),yes,37
black,ARMED ROBBERY (KNIFE),no,77
unknown,ATTEMPTED ARMED ROBBERY (GUN),no,9
hispanic,ATTEMPTED ARMED ROBBERY (GUN),no,2
white,ATTEMPTED ARMED ROBBERY (GUN),no,7
black,ATTEMPTED ARMED ROBBERY (GUN),yes,39
black,ATTEMPTED ARMED ROBBERY (GUN),no,102
unknown,ATTEMPTED ARMED ROBBERY (GUN),yes,2
white,ATTEMPTED ARMED ROBBERY (GUN),yes,4
