item_number,Signal Code,rtcc_footage_requested
c-35328-18,108,yes
c-35797-18,20,yes
d-00766-18,67A,yes
d-03858-18,34s,yes
d-04480-18,67A,yes
d-05395-18,67p,yes
c-13060-18,20,yes
c-35479-18,67P,yes
d-01304-18,65,yes
d-04820-18,64,yes
d-07011-18,107,yes
d-07273-18,20I,yes
d-07909-18,64,yes
d-08298-18,39,yes
d-09813-18,20I,yes
d-10315-18,100,yes
d-10227-18,37,yes
d-01738-18,51B,yes
d-10629-18,20,yes
d-09352-18,67A,yes
d-00243-18,65,yes
d-11667-18,20,yes
d-11711-18,34s,yes
d-00164-18,100F,yes
d-01292-18,64G,yes
d-12347-18,103,yes
d-12854-18,103F,yes
d-11711-18,34-S,yes
d-12942-18,65,yes
d-12988-18,20,yes
d-12942-18,65,yes
d-10874-18,64G,yes
d-13689-18,103 F,yes
d-13367-18,103 M,yes
d-14825-18,35,yes
d-14863-18,35,yes
d-14933-18,94,yes
d-15410-18,20,yes
d-15344-18,20,yes
d-15774-18,20,yes
d-16183-18,103F,yes
d-15791-18,103F,yes
d-15791-18,103F,yes
d-15948-18,107,yes
d-15994-18,966,yes
d-16900-18,94,yes
d-17559-18,34s,yes
d-17834-18,20I,yes
d-18035-18,20,yes
d-16048-18,21,yes
d-18645-18,107,yes
d-19421-18,34-S,yes
d-19866-18,107,yes
d-19739-18,21,yes
d-10016-18,65,yes
d-11711-18,34-S,yes
d-11711-18,34S,yes
d-04995-18,67A,yes
d-20602-18,65,yes
d-20308-18,67J,yes
d-21244-18,20I,yes
d-19721-18,62c,yes
d-21287-18,64J,yes
d-21349-18,30S,yes
d-20459-18,95,yes
d-21811-18,67A,yes
d-22394-18,20,yes
d-20602-18,65,yes
d-20771-18,30s,yes
d-20459-18,966,yes
d-22950-18,21,yes
d-22923-18,64G,yes
d-23576-18,56,yes
d-23744-18,107,yes
d-23145-18,67,yes
c-36074-18,43,yes
d-25273-18,101-I,yes
d-25771-18,103D,yes
d-25813-18,67,yes
d-16048-18,21,yes
d-24812-18,56,yes
d-26182-18,34S,yes
d-26735-18,20,yes
d-26690-18,64G,yes
d-26852-18,64G,yes
d-26930-18,52F,yes
d-13042-18,67A,yes
d-26822-18,64,yes
d-26352-18,34S,yes
d-26748-18,64J,yes
d-28499-18,20,yes
d-28590-18,67A,yes
d-28993-18,34C,yes
d-29320-18,103,yes
d-29658-18,20,yes
d-25707-18,64G,yes
d-10016-18,65,yes
d-14843-18,35,yes
d-18026-18,64G,yes
d-30423-18,67S,yes
d-30743-18,20,yes
d-31469-18,38,yes
d-29788-18,34,yes
d-10016-18,65,yes
d-31893-18,64G,yes
d-20554-18,20 I/F,yes
d-33560-18,21,yes
d-34305-18,20,yes
d-34376-18,20I,yes
d-34688-18,103F,yes
d-34644-18,21,yes
d-16048-18,21,yes
d-34168-18,64G,yes
d-35459-18,56,yes
d-35873-18,20 I,yes
d-16048-18,21,yes
d-33572-18,62C,yes
d-36008-18,103,yes
d-24671-18,64,yes
d-34458-18,65,yes
d-34458-18,65,yes
d-33749-18,65,yes
d-25704-18,64 G,yes
e-00011-18,64G,yes
d-31735-18,80,yes
e-00989-18,100,yes
b-20607-18,30S,yes
e-01758-18,20,yes
d-34168-18,64G,yes
e-01914-18,966,yes
e-03598-18,103F,yes
e-03898-18,20,yes
e-03787-18,67A,yes
e-04046-18,21,yes
e-04038-18,67P,yes
e-02795-18,64G,yes
e-04922-18,21,yes
e-05713-18,103,yes
