nopd_item,type,typetext,priority,initialtype,initialtypetext,initialpriority,mapx,mapy,timecreate,timedispatch,timearrive,timeclosed,disposition,dispositiontext,selfinitiated,beat,block_address,zip,policedistrict,location,set,latitude,longitude
A1779222,64J,CARJACKING,2C,64J,CARJACKING,2C,3685909,539158,01/16/2022 06:52:07 PM,01/16/2022 06:54:56 PM,01/16/2022 07:08:38 PM,01/16/2022 08:38:51 PM,RTF,REPORT TO FOLLOW,N,5G01,018XX Blk Spain St,70117,5,POINT (-90.05387698 29.97636323),calls_for_service,,
A1782822,37,AGGRAVATED ASSAULT,1A,67F,THEFT BY FRAUD,1D,3712091,555707,01/16/2022 07:34:23 PM,01/18/2022 09:37:16 AM,01/18/2022 09:44:13 AM,01/18/2022 09:51:55 AM,GOA,GONE ON ARRIVAL,N,7J02,046XX Lurline St,70127,7,POINT (-89.97056454 30.02103764),calls_for_service,,
A1786422,64J,CARJACKING,2C,65J,CARJACKING- NO WEAPON,2C,3694238,559797,01/16/2022 08:14:51 PM,01/16/2022 08:15:46 PM,01/16/2022 08:29:51 PM,01/16/2022 10:46:40 PM,RTF,REPORT TO FOLLOW,N,7D02,Downman Rd & Hayne Blvd,70126,7,POINT (-90.02682927 30.03285442),calls_for_service,,
A1875622,37D,AGGRAVATED ASSAULT DOMESTIC,2C,37D,AGGRAVATED ASSAULT DOMESTIC,2C,3695858,524468,01/17/2022 04:46:22 PM,,01/17/2022 04:46:22 PM,01/17/2022 08:43:15 PM,RTF,REPORT TO FOLLOW,Y,4I04,018XX Odeon Ave,70114,4,POINT (-90.02298594 29.9356614),calls_for_service,,
A1900022,64G,ARMED ROBBERY WITH GUN,2C,67A,AUTO THEFT,1D,3725155,562706,01/17/2022 09:23:50 PM,01/18/2022 09:15:10 AM,01/18/2022 09:17:15 AM,01/18/2022 11:54:33 AM,RTF,REPORT TO FOLLOW,N,7L02,134XX N Nemours St,70129,7,POINT (-89.92901712 30.03984727),calls_for_service,,
A1906522,64G,ARMED ROBBERY WITH GUN,2C,64J,CARJACKING,2C,3661271,528004,01/17/2022 11:17:09 PM,,01/17/2022 11:23:50 PM,01/18/2022 12:21:41 AM,RTF,REPORT TO FOLLOW,N,2H01,081XX Freret St,70118,2,POINT (-90.13206217 29.94642875),calls_for_service,,
A1914722,64G,ARMED ROBBERY WITH GUN,2C,64G,ARMED ROBBERY WITH GUN,2C,3677604,523801,01/18/2022 01:32:26 AM,01/18/2022 01:34:47 AM,01/18/2022 01:34:54 AM,01/18/2022 04:26:47 AM,RTF,REPORT TO FOLLOW,N,6G01,021XX Saint Charles Ave,70130,6,POINT (-90.08063779 29.93439031),calls_for_service,,
A1918422,34S,AGGRAVATED BATTERY BY SHOOTING,2C,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3726115,574848,01/18/2022 02:39:41 AM,01/18/2022 02:46:22 AM,01/18/2022 02:54:11 AM,01/18/2022 05:20:10 AM,RTF,REPORT TO FOLLOW,N,7L05,I-10 E & Michoud Blvd Exit,70129,7,POINT (-89.92551258 30.0732017),calls_for_service,,
A1799722,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3670203,520157,01/16/2022 11:49:27 PM,01/16/2022 11:54:01 PM,01/16/2022 11:56:18 PM,01/17/2022 01:37:45 AM,RTF,REPORT TO FOLLOW,N,2F04,013XX Cadiz St,70115,2,POINT (-90.10412677 29.92459187),calls_for_service,,
A1800322,34D,AGGRAVATED BATTERY DOMESTIC,2C,34D,AGGRAVATED BATTERY DOMESTIC,2C,3708318,564722,01/16/2022 11:55:24 PM,01/16/2022 11:57:58 PM,01/17/2022 12:03:10 AM,01/17/2022 12:13:29 AM,GOA,GONE ON ARRIVAL,N,7P07,077XX Read Blvd,70127,7,POINT (-89.98215255 30.04594795),calls_for_service,,
