item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_number,offenderid,offenderstatus,offender_race,offender_gender,offender_age,victim_number,persontype,victim_race,victim_gender,victim_age,victim_fatal_status,hate_crime,report_type,year
B-06102-22,4,051XX Patterson Dr,CLOSED,79,VIOLATION OF PROTECTIVE ORDERS,2/5/2022 17:00,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,731435.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Incident Report,2022
B-05900-22,7,077XX Pebble Dr,OPEN,67,THEFT,2/3/2022 21:15,14 67,THEFT,1.0,731433.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,FEMALE,46.0,Non-fatal,,Incident Report,2022
B-05935-22,5,020XX Saint Bernard Av,OPEN,21,MISCELLANEOUS INCIDENT,2/5/2022 13:50,,,,,,,,,1.0,REPORTING PERSON,BLACK,MALE,62.0,Non-fatal,,Incident Report,2022
A-07969-22,4,051XX Patterson Dr,CLOSED,79,VIOLATION OF PROTECTIVE ORDERS,1/7/2022 20:06,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,731434.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Supplemental Report,2022
B-06146-22,6,034XX S Liberty St,CLOSED,966,DRUG LAW VIOLATION,2/5/2022 17:47,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,1.0,731436.0,ARRESTED,BLACK,MALE,63.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06111-22,6,034XX S Liberty St,CLOSED,37D,AGGRAVATED ASSAULT (DOMESTIC),2/5/2022 17:45,14 37,AGG. ASSAULT,1.0,731438.0,ARRESTED,BLACK,MALE,63.0,1.0,VICTIM,BLACK,FEMALE,54.0,Non-fatal,,Incident Report,2022
A-30572-22,4,051XX Patterson Dr,CLOSED,79,VIOLATION OF PROTECTIVE ORDERS,1/27/2022 17:11,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,731440.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Supplemental Report,2022
B-05034-22,4,051XX Patterson Rd,CLOSED,79,VIOLATION OF PROTECTIVE ORDERS,2/4/2022 20:15,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,731442.0,ARRESTED,WHITE,FEMALE,45.0,1.0,VICTIM,WHITE,MALE,58.0,Non-fatal,,Supplemental Report,2022
A-28964-22,6,021XX Clara St,OPEN,35,SIMPLE BATTERY,1/26/2022 16:13,54 96,BATTERY,1.0,732036.0,,BLACK,MALE,,1.0,VICTIM,BLACK,MALE,58.0,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 95.10,POSSESSION OF A FIREARM OR CARRYING OF A CONCEALED WEAPON BY A PERSON CONVICTED OF DOMESTIC ABUSE BA,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 95,ILLEGAL CARRYING OF WEAPON,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 95.1,POSSESSION OF FIREARM BY FELON,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 95.E,ILLEGAL CARRYING OF A WEAPON WHILE IN POSSESSION OF NARCOTICS,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,14 108,RESISTING AN OFFICER,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-06056-22,3,035XX Fairmont Dr,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2/5/2022 16:04,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,1.0,731454.0,ARRESTED,BLACK,MALE,26.0,1.0,VICTIM,,,,Non-fatal,,Incident Report,2022
B-05614-22,5,024XX Franklin Av,OPEN,56,SIMPLE CRIMINAL DAMAGE,2/4/2022 22:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,731445.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,BLACK,MALE,35.0,Non-fatal,,Incident Report,2022
