Item / Case Number	Signal Code
D-02074-22	20
D-02226-22	103F
D-02336-22	107
D-03637-22	20I
C-34815-22	20
C-25662-22	30S
C-35147-22	966
C-34237-22	55
C-28945-22	64J
D-00907-22	20
C-04334-22	30S
D-00910-22	62
D-01077-22	39
D-01374-22	103 F
D-02282-22	30S
D-03491-22	20I
D-03414-22	20I
D-03588-22	37
C-21552-22	67A
C-35474-22	20i
C-35643-22	63
D-00176-22	103F
D-00280-22	18
D-00370-22	24
D-00572-22	30s
C-00966-22	95G
D-01468-22	64G
D-01464-22	64J
D-01608-22	20
D-01572-22	64G
D-00910-22	62C
D-01929-22	20X
D-01972-22	20I
C-35564-22	100
D-00944-22	18
D-00979-22	20I
D-01070-22	18
D-01102-22	103F
D-01065-22	21
D-00467-22	21
E-34938-21	21
C-35147-22	966
B-03140-22	21
D-01430-22	24
D-01464-22	64J
D-01468-22	64G
 
D-01816-22	20-I
D-02693-22	20I
D-02693-22	20I
D-02837-22	20
D-02867-22	20I
C-32907-22	67
D-03001-22	20
D-01788-22	107S
D-01977-22	20I
D-02124-22	18
D-02282-22	30S
D-02355-22	20
D-02253-22	100
D-02909-22	100
D-02911-22	20-I
D-02828-22	20
C-02269-22	67A
D-03002-22	62C
D-03176-22	35
D-03330-22	20I
D-03402-22	20I
D-03454-22	18
D-00960-22	64 G
D-03136-22	34 S
D-02938-22	59
D-03255-22	100
D-03227-22	94
D-03964-22	62C
D-04147-22	34S
D-03865-22	20
D-03949-22	20
D-04331-22	20I
D-03858-22	34S
D-03905-22	27/67A
E-34938-21	21
D-04101-22	37D
C-18409-22	30S
D-04565-22	20I
D-04744-22	64G
D-05088-22	20
D-04880-22	34S
D-05046-22	20
D-04605-22	62B
D-03981-22	67A
C-31263-22	67A
C-21801-22	30S
C-21801-22	30S
 
D-07687-22	20
D-05805-22	34S
C-34541-22	42
D-07708-22	103
C-21801-22	30S
C-07880-22	20
D-05748-22	65P
C-21801-22	30 S
D-06054-22	42
D-05792-22	20
D-05805-22	34S
D-05989-22	65
D-05289-22	21
D-05949-22	67
D-06848-22	37
D-06855-22	20I
D-06787-22	20
D-05748-22	65P
D-06917-22	56
D-06114-22	62C
D-05984-22	67A
E-34938-21	21
D-07446-22	20
C-21801-22	30S
D-06165-22	20
D-06569-22	67
D-06797-22	65
D-06936-22	20
D-06814-22	20
D-06955-22	94
D-06838-22	34 S
D-03981-22	67A
D-06302-22	20I
D-06369-22	20
D-06384-22	100
D-06838-22	20
C-21801-22	30S
C-30122-22	65
C-17815-22	21
D-08669-22	30S
D-02177-22	62R
D-08887-21	20
D-11046-22	37
D-11129-22	20I
D-11277-22	103F
D-11356-22	20I
D-11547-22	55
 
D-11665-22	20
D-11914-22	20
D-10116-22	34S
D-06955-22	55
D-21801-22	30S
D-08475-22	65P
D-08824-22	20C
D-10094-22	100
D-10127-22	35
D-10223-22	100I
D-10234--22	56
D-10267-22	20C
D-10384-22	94
C-13695-22	20I
D-08481-22	20
D-07843-22	21
D-08723-22	34S
D-11975-22	20
D-09764-22	30S
D-09771-22	20
D09243-22	34S
D-09279-22	20I
D-09284-22	103F
D-09268-22	20
D-09458-22	52F
D-10115-22	107
D-10074-22	18A
D-10584-22	67A
D-10872-22	20
D-09013-22	37D
D-09287-22	30S
D-09315-22	94
D-07802-22	62R
D-11965-22	21R
D-09587-22	20
D-09505-22	30S
D-11019-22	62B
D-11058-22	95G
D-09764-22	30S
D-09917-22	20
D-11098-22	20
D-11147-22	100
D-11231-22	21
D-11252-22	94
D-11223-22	20I
D-11282-22	34S
D-09629-22	100
 
D-12324-22	37
D-12187-22	106
D-12409-22	34S
D-12416-22	18
D-10570-22	64G
D-12563-22	34 S
D-12411-22	34S
D-08669-22	30S
D-10018-22	34C
D-10951-22	20
D-11703-22	24
D-12102-22	20
D-12057-22	20
D-10116-22	34S
D-12614-22	94
D-12635-22	35
D-12601-22	94
D-12911-22	35
D-13374-22	18
D-13002-22	20
B-09110-22	65J
D-12815-22	20
D-12907-22	20
D-12925-22	20I
D-08669-22	30S
D-10116-22	34S
D-11644-22	51
D-13059-22	65
C-32869-22	34S
D-13378-22	37
D-13422-22	107
D-13487-22	20
D-13353-22	35
D-13740-22	18
D-13765-22	18
D-13031-22	62 C
D-09243-22	30 S
D-02032-22	95
D-13679-22	20
C-28624-22	30 S
C-18168-22	60 D
D-09243-22	30S
D-13811-22	21
D-10094-22	100
D-13925-22	62B
D-13976-22	20I
D-14257-22	95G
 
D-14280-22	100
D-14394-22	100I
D-14491-22	20
D-14638-22	20
D-14744-22	18
D-10570-22	64G
D-14965-22	67A
D-15082-22	37
