latitude,longitude,set
29.95728283,-90.06672856,rtcc
29.95704071,-90.06706977,rtcc
29.95782843,-90.06636763,rtcc
29.95797788,-90.06610848,rtcc
29.95665948,-90.06752904,rtcc
29.95628035,-90.06775069,rtcc
29.95764053,-90.06796757,rtcc
29.95861082,-90.06566875,rtcc
29.9558775,-90.06822336,rtcc
29.95582185,-90.06824313,rtcc
29.95902895,-90.06528471,rtcc
29.95549212,-90.06845937,rtcc
29.95513121,-90.06867359,rtcc
29.95948475,-90.06488729,rtcc
29.95964743,-90.0648222,rtcc
29.95471341,-90.06915303,rtcc
29.95360547,-90.06566543,rtcc
29.95439599,-90.06887508,rtcc
29.95350317,-90.06737365,rtcc
29.95531813,-90.07004448,rtcc
29.96023902,-90.06429842,rtcc
29.95896103,-90.06992563,rtcc
29.95420704,-90.06948401,rtcc
29.95346489,-90.06873549,rtcc
29.95395759,-90.06982946,rtcc
29.95310368,-90.06916653,rtcc
29.95370058,-90.07005953,rtcc
29.96140965,-90.06762788,rtcc
29.96106843,-90.06347294,rtcc
29.95802979,-90.0723882,rtcc
29.9529004,-90.07059664,rtcc
29.96133062,-90.07079797,rtcc
29.95611884,-90.07364439,rtcc
29.96344297,-90.06675702,rtcc
29.95009445,-90.06431613,rtcc
29.9541597,-90.07394124,rtcc
29.96208537,-90.07268175,rtcc
29.95354081,-90.07541601,rtcc
29.96201596,-90.05808164,rtcc
29.94813558,-90.06492778,rtcc
29.94809209,-90.06489593,rtcc
29.96293538,-90.0740024,rtcc
29.96590313,-90.06372265,rtcc
29.94810964,-90.06973176,rtcc
29.96254444,-90.0576828,rtcc
29.94831954,-90.07087393,rtcc
29.96477221,-90.06014932,rtcc
29.96320749,-90.0744993,rtcc
29.96579109,-90.07032343,rtcc
29.96449922,-90.07325855,rtcc
29.958898,-90.07743863,rtcc
29.96353296,-90.05776008,rtcc
29.96375654,-90.07523896,rtcc
29.96249807,-90.07635807,rtcc
29.96442168,-90.05751051,rtcc
29.96735506,-90.07071292,rtcc
29.96421624,-90.07610899,rtcc
29.96504632,-90.0573184,rtcc
29.9541618,-90.05370588,rtcc
29.96557612,-90.05764029,rtcc
29.96602577,-90.07454427,rtcc
29.94593031,-90.07168369,rtcc
29.96737244,-90.05922592,rtcc
29.96467642,-90.07706105,rtcc
29.96273041,-90.05401424,rtcc
29.96944108,-90.06823818,rtcc
29.96960096,-90.06691961,rtcc
29.96487042,-90.07856343,rtcc
29.97013896,-90.06407675,rtcc
29.96529516,-90.07918665,rtcc
29.97088063,-90.06773115,rtcc
29.96549828,-90.07948591,rtcc
29.96744175,-90.0776084,rtcc
29.94398847,-90.07367426,rtcc
29.94322908,-90.07197625,rtcc
29.97067438,-90.07179872,rtcc
29.97122786,-90.06295484,rtcc
29.9721494,-90.06693577,rtcc
29.97137023,-90.06065948,rtcc
29.97052157,-90.05703448,rtcc
29.94862716,-90.05056268,rtcc
29.94649476,-90.05227096,rtcc
29.96651757,-90.08106142,rtcc
29.97308918,-90.0658652,rtcc
29.96494935,-90.08253624,rtcc
29.97289699,-90.06981651,rtcc
29.96783957,-90.05205834,rtcc
29.96981551,-90.07819237,rtcc
29.94150557,-90.07343719,rtcc
29.96319437,-90.04854242,rtcc
29.94467393,-90.07960376,rtcc
29.96675442,-90.08233239,rtcc
29.97337592,-90.06080752,rtcc
29.97480737,-90.06666172,rtcc
29.9735296,-90.05855425,rtcc
29.97206728,-90.07758392,rtcc
29.94087391,-90.07598336,rtcc
29.96783487,-90.08300277,rtcc
29.97335326,-90.05729133,rtcc
29.97119126,-90.08021112,rtcc
29.94044643,-90.07797928,rtcc
29.9391163,-90.07561011,rtcc
29.97364825,-90.07807499,rtcc
29.96877662,-90.08426312,rtcc
29.97061733,-90.08285259,rtcc
29.94446157,-90.04846243,rtcc
29.96900569,-90.08469256,rtcc
29.94352695,-90.08360762,rtcc
29.9494251,-90.08794023,rtcc
