occurred_date_time,latitude,longitude,hour,item_number,disposition,occurred_date,occurred_time
2018-01-08 16:30:00,29.9488665,-90.0893422,16,d2077118,CLOSED,2018-01-08,16:30:00
2018-01-08 16:30:00,29.9488665,-90.0893422,16,d2077118,CLOSED,2018-01-08,16:30:00
2018-01-26 02:00:00,29.9658235,-90.03638149999999,2,e1274818,OPEN,2018-01-26,02:00:00
2018-01-26 02:00:00,30.0721789,-89.9435642,2,l2194418,OPEN,2018-01-26,02:00:00
2018-01-26 02:00:00,30.0721789,-89.9435642,2,l2194418,OPEN,2018-01-26,02:00:00
2018-01-26 02:00:00,30.0721789,-89.9435642,2,l2194418,OPEN,2018-01-26,02:00:00
2018-02-17 11:33:00,30.0721789,-89.9435642,11,l2194418,OPEN,2018-02-17,11:33:00
2018-02-17 11:33:00,29.9293911,-90.0920491,11,j3237918,CLOSED,2018-02-17,11:33:00
2018-03-15 07:40:00,29.9809617,-90.1139965,7,g3552218,CLOSED,2018-03-15,07:40:00
2018-03-28 04:00:00,29.9809617,-90.1139965,4,g3552218,CLOSED,2018-03-28,04:00:00
2018-03-28 11:09:00,29.9538224,-90.0892731,11,e0567318,OPEN,2018-03-28,11:09:00
2018-03-28 11:09:00,29.9799705,-90.0404911,11,e1466618,OPEN,2018-03-28,11:09:00
2018-03-28 11:09:00,29.9799705,-90.0404911,11,e1466618,OPEN,2018-03-28,11:09:00
2018-03-28 11:09:00,29.9547116,-90.069155,11,i3041618,CLOSED,2018-03-28,11:09:00
2018-03-29 01:47:00,29.98787,-90.06428,1,h1008618,OPEN,2018-03-29,01:47:00
2018-04-01 04:30:00,29.98787,-90.06428,4,h1008618,OPEN,2018-04-01,04:30:00
2018-04-01 15:35:00,29.98787,-90.06428,15,h1008618,OPEN,2018-04-01,15:35:00
2018-04-02 01:00:00,29.98787,-90.06428,1,h1008618,OPEN,2018-04-02,01:00:00
2018-04-02 03:00:00,29.98787,-90.06428,3,h1008618,OPEN,2018-04-02,03:00:00
2018-04-03 23:40:00,29.9921256,-90.0541057,23,d2635218,CLOSED,2018-04-03,23:40:00
2018-04-04 02:30:00,29.9921256,-90.0541057,2,d2635218,CLOSED,2018-04-04,02:30:00
2018-04-04 02:30:00,29.9921256,-90.0541057,2,d2635218,CLOSED,2018-04-04,02:30:00
2018-04-04 03:00:00,29.9921256,-90.0541057,3,d2635218,CLOSED,2018-04-04,03:00:00
2018-04-04 22:40:00,29.9921256,-90.0541057,22,d2635218,CLOSED,2018-04-04,22:40:00
2018-04-06 14:07:00,29.9921256,-90.0541057,14,d2635218,CLOSED,2018-04-06,14:07:00
2018-04-07 01:35:00,29.9921256,-90.0541057,1,d2635218,CLOSED,2018-04-07,01:35:00
2018-04-07 16:00:00,29.9670716,-90.0179487,16,e1605118,OPEN,2018-04-07,16:00:00
2018-04-07 16:00:00,29.944205,-90.08645,16,e1373418,OPEN,2018-04-07,16:00:00
2018-04-07 16:00:00,29.9547116,-90.069155,16,e0571318,CLOSED,2018-04-07,16:00:00
2018-04-07 16:00:00,29.9547116,-90.069155,16,e1315118,CLOSED,2018-04-07,16:00:00
2018-04-09 05:43:00,29.9547116,-90.069155,5,e1315118,CLOSED,2018-04-09,05:43:00
2018-04-09 11:09:00,29.9547116,-90.069155,11,e1315118,CLOSED,2018-04-09,11:09:00
2018-04-09 21:00:00,29.9547116,-90.069155,21,e1315118,CLOSED,2018-04-09,21:00:00
2018-04-09 21:00:00,29.9547116,-90.069155,21,e1315118,CLOSED,2018-04-09,21:00:00
2018-04-10 15:07:00,29.9547116,-90.069155,15,e1315118,CLOSED,2018-04-10,15:07:00
2018-04-10 15:07:00,29.9352628,-90.0787053,15,e1480918,OPEN,2018-04-10,15:07:00
2018-04-10 15:07:00,29.9352628,-90.0787053,15,e1480918,OPEN,2018-04-10,15:07:00
2018-04-11 13:15:00,29.9352628,-90.0787053,13,e1480918,OPEN,2018-04-11,13:15:00
2018-04-11 13:15:00,29.9352628,-90.0787053,13,e1480918,OPEN,2018-04-11,13:15:00
2018-04-11 13:15:00,29.964377,-90.040264,13,l3404618,OPEN,2018-04-11,13:15:00
2018-04-11 13:15:00,29.964377,-90.040264,13,l3404618,OPEN,2018-04-11,13:15:00
2018-04-11 13:15:00,29.9621978,-90.06700409999999,13,i3615518,OPEN,2018-04-11,13:15:00
2018-04-11 13:15:00,29.9621978,-90.06700409999999,13,i3615518,OPEN,2018-04-11,13:15:00
2018-04-11 14:52:00,29.9151582,-89.9929658,14,e1518618,OPEN,2018-04-11,14:52:00
2018-04-11 14:52:00,29.9266718,-90.1008088,14,e1601818,OPEN,2018-04-11,14:52:00
2018-04-11 14:52:00,29.9266718,-90.1008088,14,e1601818,OPEN,2018-04-11,14:52:00
2018-04-11 14:52:00,29.9768501,-90.0717871,14,i3544218,OPEN,2018-04-11,14:52:00
2018-04-11 21:05:00,29.9427937,-90.0947769,21,l2059318,CLOSED,2018-04-11,21:05:00
2018-04-11 21:15:00,30.0091673,-90.0838176,21,d0076618,OPEN,2018-04-11,21:15:00
2018-04-13 01:20:00,29.9528225,-90.06636460000001,1,i0222118,OPEN,2018-04-13,01:20:00
2018-04-13 01:20:00,29.9528225,-90.06636460000001,1,i0222118,OPEN,2018-04-13,01:20:00
2018-04-13 02:50:00,29.9528225,-90.06636460000001,2,i0222118,OPEN,2018-04-13,02:50:00
2018-04-13 04:42:00,29.9528225,-90.06636460000001,4,i0222118,OPEN,2018-04-13,04:42:00
2018-04-13 04:42:00,29.9528225,-90.06636460000001,4,i0222118,OPEN,2018-04-13,04:42:00
2018-04-13 23:05:00,29.961054,-90.0347944,23,h0551318,OPEN,2018-04-13,23:05:00
