item_number,Signal Code,Upon Researching the above item :
A-00117-22,100,No relevant video was found
A-01114-22,94,No relevant video was found
A-00442-22,20,No relevant video was found
A-00561-22,20,No relevant video was found
L-35535-21,30S,Relevant video was found
A-00784-22,20,No relevant video was found
A-00810-22,20I,Relevant video was found
A-00774-22,62C,Relevant video was found
L-36018-21,62C,Relevant video was found
A-00725-22,100,Relevant video was found
A-00742-22,100I,No relevant video was found
A-00718-22,34S,No relevant video was found
A-00717-22,65,Relevant video was found
A-00795-22,100,No relevant video was found
A-00757-22,100,No relevant video was found
L-36078-21,20,Relevant video was found
A-01075-22,100-I,No relevant video was found
A-02380-22,62B,Relevant video was found
A-03855-22,100I,Relevant video was found
A-03203-22,67AR,Relevant video was found
L-13942-21,64G,Relevant video was found
A-01042-22,67A,No relevant video was found
A-01080-22,94,No relevant video was found
A-01279-22,63,No relevant video was found
A-04494-22,20,Relevant video was found
A-04442-22,64G,Relevant video was found
A-01297-21,34S,No relevant video was found
A-01470-21,21,Relevant video was found
L-35468-21,100I,Relevant video was found
A-01788-22,20,No relevant video was found
A-01855-22,100I,Relevant video was found
A-01814-22,34,No relevant video was found
A-04350-22,20,Relevant video was found
A-04541-22,100,Relevant video was found
A-01466-22,100I,No relevant video was found
A-01620-22,20,No relevant video was found
A-01714-22,20,No relevant video was found
A-01807-22,20I,Relevant video was found
A-01909-22,64J,Relevant video was found
A-02611-22,20,No relevant video was found
A-02918-22,64,Relevant video was found
A-02943-22,20,No relevant video was found
A-03091-22,20,No relevant video was found
A-02061-22,20,Relevant video was found
A-02080-22,103,Relevant video was found
A-02091-22,20I,No relevant video was found
A-02123-22,52F,No relevant video was found
A-02285-22,37,Relevant video was found
A-02285-22,62B,Relevant video was found
A-01920-22,64-J,No relevant video was found
A-02029-22,24,Relevant video was found
A-02092-22,20I,Relevant video was found
A-01984-22,34S,Relevant video was found
A-01984-22,34S,Relevant video was found
A-01572-22,65,Relevant video was found
A-01572-22,65,Relevant video was found
A-04311-22,18,Relevant video was found
A-04218-22,94,No relevant video was found
L-20820-21,62C,Relevant video was found
A-04393-22,18,Relevant video was found
A-32220-22,18,Relevant video was found
A-03476-22,35,Relevant video was found
A-02238-22,62C,No relevant video was found
A-01027-22,67,No relevant video was found
L-30489-21,30S,Relevant video was found
A-01085-22,64G,No relevant video was found
A-02634-22,30S,Relevant video was found
A-03001-22,94,No relevant video was found
A-03083-22,20I,Relevant video was found
A-03044-22,20,Relevant video was found
L-28147-21,30 S,Relevant video was found
A-03155-22,20,Relevant video was found
A-01929-22,20,No relevant video was found
A-03331-22,64G,No relevant video was found
A-03454-22,20,Relevant video was found
A-03549-22,64J,Relevant video was found
A-03083-22,20,Relevant video was found
A-03253-22,20I,No relevant video was found
A-03549-22,64J,Relevant video was found
A-03790-22,58R,No relevant video was found
A-04060-22,100,Relevant video was found
L-21303-21,34S,No relevant video was found
A-04288-22,100,Relevant video was found
A-04553-22,100,No relevant video was found
A-04814-22,20F,Relevant video was found
A-05148-22,20,Relevant video was found
A-04442-22,64G,Relevant video was found
A-05038-22,34S,Relevant video was found
A-03258-21,64J,Relevant video was found
A-05655-22,100,No relevant video was found
A-05491-22,67A,Relevant video was found
A-05696-22,62C,Relevant video was found
A-02985-22,100,Relevant video was found
A-05671-22,62C,Relevant video was found
A-05539-22,34S,Relevant video was found
A-05637-21,20i,No relevant video was found
A-05753-21,35,Relevant video was found
A-05671-21,62C,No relevant video was found
A-05850-21,100,Relevant video was found
A-05798-22,67A,No relevant video was found
A-06010-22,20I,Relevant video was found
L-32186-21,100,Relevant video was found
A-05038-22,34S,Relevant video was found
A-06088-22,20,Relevant video was found
A-06063-22,20I,Relevant video was found
A-06128-22,94,Relevant video was found
E-34938-21,21,Relevant video was found
A-06440-22,100,Relevant video was found
A-06499-22,100,Relevant video was found
A-05839-22,34S,Relevant video was found
A-06803-22,34,Relevant video was found
A-06872-22,20,No relevant video was found
A-07019-22,20-I,No relevant video was found
A-06829-22,29ST,Relevant video was found
A-07019-22,20I,No relevant video was found
