item_number,Signal Code,Upon Researching the above item :,Type,TypeText,Priority,InitialType,InitialTypeText,InitialPriority,MapX,MapY,TimeCreate,TimeDispatch,TimeArrive,TimeClosed,Disposition,DispositionText,SelfInitiated,Beat,BLOCK_ADDRESS,Zip,PoliceDistrict,Location
A0011722,100,No relevant video was found,100,HIT & RUN,1G,20,AUTO ACCIDENT,1E,3692036,543335,1/1/2022 1:07,1/1/2022 7:30,1/1/2022 7:38,1/1/2022 8:16,RTF,REPORT TO FOLLOW,N,5Q02,030XX Oliver White Ave,70126,5,POINT (-90.03437791 29.98765875)
A0111422,94,No relevant video was found,94,DISCHARGING FIREARM,1A,94,DISCHARGING FIREARM,2D,3674955,527281,1/1/2022 21:54,,1/1/2022 22:16,1/1/2022 22:27,GOA,GONE ON ARRIVAL,N,6J01,027XX Jackson Ave,70113,6,POINT (-90.0888798 29.94403712)
A0044222,20,No relevant video was found,21,COMPLAINT OTHER,1J,20,AUTO ACCIDENT,1E,3698591,519112,1/1/2022 8:50,1/1/2022 9:24,1/1/2022 9:33,1/1/2022 9:49,NAT,Necessary Action Taken,N,4C02,General De Gaulle Dr & Holiday Dr,70114,4,POINT (-90.01455299 29.92084957)
A0056122,20,No relevant video was found,20,AUTO ACCIDENT,1A,20,AUTO ACCIDENT,1E,3677613,523661,1/1/2022 11:25,1/1/2022 11:34,1/1/2022 11:44,1/1/2022 12:59,RTF,REPORT TO FOLLOW,N,6D03,Saint Charles Ave & Jackson Ave,70130,6,POINT (-90.08061222 29.93400616)
A0078422,20,No relevant video was found,20,AUTO ACCIDENT,1E,20,AUTO ACCIDENT,1E,3679672,545141,1/1/2022 15:33,1/1/2022 16:06,1/1/2022 16:10,1/1/2022 16:13,GOA,GONE ON ARRIVAL,N,3M02,Paris Ave & Lafreniere St,70122,3,POINT (-90.07336674 29.99300661)
A0081022,20I,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20I,AUTO ACCIDENT WITH INJURY,2D,3710555,561119,1/1/2022 16:07,1/1/2022 17:11,1/1/2022 17:18,1/1/2022 19:47,RTF,REPORT TO FOLLOW,N,7I03,Read Blvd & S I-10 Service Rd,70127,7,POINT (-89.97521695 30.03596896)
A0077422,62C,Relevant video was found,62C,SIMPLE BURGLARY VEHICLE,1G,62C,SIMPLE BURGLARY VEHICLE,1G,3729649,562833,1/1/2022 15:26,,1/1/2022 15:26,1/1/2022 16:07,RTF,REPORT TO FOLLOW,Y,7L02,049XX Marseille St,70129,7,POINT (-89.91480853 30.04004459)
A0072522,100,Relevant video was found,100,HIT & RUN,1A,100,HIT & RUN,1G,3684471,537744,1/1/2022 14:26,1/1/2022 16:34,,1/1/2022 17:55,RTF,REPORT TO FOLLOW,N,5A04,Frenchmen St & N Robertson St,70116,5,POINT (-90.05846735 29.97252045)
A0074222,100I,No relevant video was found,100I,HIT & RUN WITH INJURIES,2D,100I,HIT & RUN WITH INJURIES,2D,3680217,530704,1/1/2022 14:46,1/1/2022 14:51,1/1/2022 14:51,1/1/2022 17:54,RTF,REPORT TO FOLLOW,N,8I01,Common St & Baronne St,70112,8,POINT (-90.07214969 29.95329343)
A0071822,34S,No relevant video was found,30S,HOMICIDE BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3686306,534245,1/1/2022 14:14,1/1/2022 14:17,1/1/2022 14:18,1/2/2022 1:33,RTF,REPORT TO FOLLOW,N,5B01,Decatur St & Spain St,70117,5,POINT (-90.05279727 29.96284283)
A0071722,65,Relevant video was found,56,SIMPLE CRIMINAL DAMAGE,1F,65,SIMPLE ROBBERY,1D,3681346,530680,1/1/2022 14:14,1/1/2022 14:19,1/1/2022 14:24,1/1/2022 21:11,RTF,REPORT TO FOLLOW,N,8C01,006XX Canal St,70130,8,POINT (-90.06858484 29.95319263)
A0079522,100,No relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,37369000,3513814,1/1/2022 15:46,1/1/2022 15:53,1/1/2022 15:55,1/1/2022 16:49,RTF,REPORT TO FOLLOW,N,4C02,033XX Garden Oaks Dr,70114,0,POINT (0 0)
A0075722,100,No relevant video was found,100,HIT & RUN,1G,100,HIT & RUN,1G,3684374,543668,1/1/2022 15:08,1/1/2022 15:28,1/1/2022 16:35,1/1/2022 18:39,RTF,REPORT TO FOLLOW,N,3X01,Abundance St & Elysian Fields Ave,70122,3,POINT (-90.05856711 29.98881261)
A0107522,100-I,No relevant video was found,100I,HIT & RUN WITH INJURIES,2D,100,HIT & RUN,1G,3677892,546113,1/1/2022 21:04,1/1/2022 21:59,1/1/2022 23:59,1/2/2022 0:39,RTF,REPORT TO FOLLOW,N,3M01,Saint Bernard Ave & Milton St,70122,3,POINT (-90.07895789 29.99573185)
A0238022,62B,Relevant video was found,62B,BUSINESS BURGLARY,2C,62A,"BURGLAR ALARM, SILENT",2E,3684262,547904,1/3/2022 3:17,1/3/2022 3:17,1/3/2022 3:20,1/3/2022 5:18,RTF,REPORT TO FOLLOW,N,3T01,032XX Gentilly Blvd,70122,3,POINT (-90.05877122 30.0004619)
A0385522,100I,Relevant video was found,100I,HIT & RUN WITH INJURIES,1A,100I,HIT & RUN WITH INJURIES,2D,3682258,537745,1/4/2022 10:37,1/4/2022 16:08,1/4/2022 16:14,1/4/2022 18:15,RTF,REPORT TO FOLLOW,N,5A02,N Claiborne Av & Saint Bernard Ave,70116,5,POINT (-90.06545877 29.9725914)
A0320322,67AR,Relevant video was found,67AR,SIMULTANEOS STOLEN/RECOVERY VEHICLE,1D,67A,AUTO THEFT,1D,3686662,552622,1/3/2022 19:01,1/3/2022 19:56,1/3/2022 20:07,1/3/2022 23:54,RTF,REPORT TO FOLLOW,N,3R04,Filmore Ave & Franklin Ave,70122,3,POINT (-90.05102293 30.01336213)
A0104222,67A,No relevant video was found,21,COMPLAINT OTHER,1J,21,COMPLAINT OTHER,1J,3683472,532725,1/1/2022 20:20,,1/1/2022 20:20,1/1/2022 22:21,NAT,Necessary Action Taken,Y,8.00E+04,005XX Dumaine St,70116,8,POINT (-90.06179991 29.95875024)
A0108022,94,No relevant video was found,94,DISCHARGING FIREARM,2D,94,DISCHARGING FIREARM,2D,3706867,514025,1/1/2022 21:10,1/1/2022 21:14,1/1/2022 21:19,1/1/2022 21:41,GOA,GONE ON ARRIVAL,N,4.00E+01,061XX Tullis Dr,70131,4,POINT (-89.98861728 29.90659849)
A0127922,63,No relevant video was found,63,PROWLER,2E,63,PROWLER,2E,3714784,565579,1/2/2022 1:52,1/2/2022 1:53,1/2/2022 1:56,1/2/2022 2:07,GOA,GONE ON ARRIVAL,N,7I11,070XX Bullard Ave,70128,7,POINT (-89.96168257 30.04809477)
A0449422,20,Relevant video was found,20I,AUTO ACCIDENT WITH INJURY,2D,20,AUTO ACCIDENT,1E,3680875,530856,1/4/2022 21:34,1/4/2022 23:31,1/5/2022 0:11,1/5/2022 0:47,RTF,REPORT TO FOLLOW,N,8I01,Canal St & Carondelet St,70112,8,POINT (-90.07006492 29.95369143)
A0444222,64G,Relevant video was found,64G,ARMED ROBBERY WITH GUN,1A,64,ARMED ROBBERY,2C,3705963,561631,1/4/2022 20:24,1/4/2022 20:28,1/4/2022 20:49,1/4/2022 22:41,RTF,REPORT TO FOLLOW,N,7O10,Bunker Hill Rd & Boston Dr,70127,7,POINT (-89.98970993 30.03752565)
A0444222,64G,Relevant video was found,64G,ARMED ROBBERY WITH GUN,1A,64,ARMED ROBBERY,2C,3705963,561631,1/4/2022 20:24,1/4/2022 20:28,1/4/2022 20:49,1/4/2022 22:41,RTF,REPORT TO FOLLOW,N,7O10,Bunker Hill Rd & Boston Dr,70127,7,POINT (-89.98970993 30.03752565)
