item_number,location
d2077118,"36XX S Roman St, New Orleans, Louisiana"
d2077118,"36XX S Roman St, New Orleans, Louisiana"
e1274818,"Saint Claude Av & Alvar St, New Orleans, Louisiana"
l2194418,"78XX Sun St, New Orleans, Louisiana"
l2194418,"78XX Sun St, New Orleans, Louisiana"
l2194418,"78XX Sun St, New Orleans, Louisiana"
l2194418,"78XX Sun St, New Orleans, Louisiana"
j3237918,"31XX Louisiana Avenue Pw, New Orleans, Louisiana"
g3552218,"Metairie Rd & City Park Av, New Orleans, Louisiana"
g3552218,"Metairie Rd & City Park Av, New Orleans, Louisiana"
e0567318,"Howard Av & Saint Charles Av, New Orleans, Louisiana"
e1466618,"3XX N Tonti St, New Orleans, Louisiana"
e1466618,"3XX N Tonti St, New Orleans, Louisiana"
i3041618,"8XX Bourbon St, New Orleans, Louisiana"
h1008618,"23XX Annette St, New Orleans, Louisiana"
h1008618,"23XX Annette St, New Orleans, Louisiana"
h1008618,"23XX Annette St, New Orleans, Louisiana"
h1008618,"23XX Annette St, New Orleans, Louisiana"
h1008618,"23XX Annette St, New Orleans, Louisiana"
d2635218,"19XX Saint Roch Av, New Orleans, Louisiana"
d2635218,"19XX Saint Roch Av, New Orleans, Louisiana"
d2635218,"19XX Saint Roch Av, New Orleans, Louisiana"
d2635218,"19XX Saint Roch Av, New Orleans, Louisiana"
d2635218,"19XX Saint Roch Av, New Orleans, Louisiana"
d2635218,"19XX Saint Roch Av, New Orleans, Louisiana"
d2635218,"19XX Saint Roch Av, New Orleans, Louisiana"
e1605118,"18XX Egania St, New Orleans, Louisiana"
e1373418,"Felicity St & Magnolia St, New Orleans, Louisiana"
e0571318,"4XX Bourbon St, New Orleans, Louisiana"
e1315118,"4XX Bourbon St, New Orleans, Louisiana"
e1315118,"4XX Bourbon St, New Orleans, Louisiana"
e1315118,"4XX Bourbon St, New Orleans, Louisiana"
e1315118,"4XX Bourbon St, New Orleans, Louisiana"
e1315118,"4XX Bourbon St, New Orleans, Louisiana"
e1315118,"4XX Bourbon St, New Orleans, Louisiana"
e1480918,"Saint Charles Av & Andrew Higgins, New Orleans, Louisiana"
e1480918,"Saint Charles Av & Andrew Higgins, New Orleans, Louisiana"
