,latitude,longitude,item_number
4,29.9658235,-90.03638149999999,e1274818
5,30.0721789,-89.9435642,l2194418
9,30.0721789,-89.9435642,l2194418
13,30.0721789,-89.9435642,l2194418
24,29.9809617,-90.1139965,g3552218
32,29.98787,-90.06428,h1008618
37,29.98787,-90.06428,h1008618
47,29.98787,-90.06428,h1008618
52,29.98787,-90.06428,h1008618
57,29.9921256,-90.0541057,d2635218
64,29.9921256,-90.0541057,d2635218
71,29.9921256,-90.0541057,d2635218
78,29.9921256,-90.0541057,d2635218
85,29.9921256,-90.0541057,d2635218
99,29.9921256,-90.0541057,d2635218
115,29.9547116,-90.069155,e1315118
127,29.9547116,-90.069155,e1315118
133,29.9547116,-90.069155,e1315118
178,29.9427937,-90.0947769,l2059318
179,30.0091673,-90.0838176,d0076618
180,29.9528225,-90.06636460000001,i0222118
185,29.9528225,-90.06636460000001,i0222118
190,29.9528225,-90.06636460000001,i0222118
195,29.9528225,-90.06636460000001,i0222118
200,29.9528225,-90.06636460000001,i0222118
205,29.961054,-90.0347944,h0551318
331,29.94531,-90.022219,i3348818
337,29.9043332,-89.9923507,l2198518
357,29.9599205,-90.0113436,i3688518
359,29.9599205,-90.0113436,i3688518
361,29.9404877,-90.0202054,d2674818
363,29.9404877,-90.0202054,d2674818
365,30.0127901,-90.0195342,i1890818
374,29.9547116,-90.069155,l2935618
378,29.9547116,-90.069155,l2935618
382,29.9707601,-90.0795922,e0492218
388,29.967587,-90.086426,e1960018
392,29.967587,-90.086426,e1960018
405,29.9776514,-90.0767059,e2595018
406,30.027116,-89.992026,d2292318
407,29.9784841,-90.0838403,e0304218
408,29.9898281,-90.0715699,e2521818
409,29.9362305,-90.1183137,e2605718
415,29.9362305,-90.1183137,e2605718
421,29.9362305,-90.1183137,e2605718
427,29.9362305,-90.1183137,e2605718
439,29.9362305,-90.1183137,e2605718
445,30.055529,-89.95895999999999,i3314318
449,30.055529,-89.95895999999999,i3314318
473,29.9984885,-90.0500148,e2774718
477,29.9984885,-90.0500148,e2774718
481,29.9984885,-90.0500148,e2774718
485,29.9984885,-90.0500148,e2774718
489,29.9392017,-90.0866475,e2827218
491,29.9392017,-90.0866475,e2827218
493,30.027116,-89.992026,i2115918
497,30.027116,-89.992026,i2115918
505,30.027116,-89.992026,i2115918
509,30.0258175,-90.0011773,i3012318
524,30.0258175,-90.0011773,i3012318
539,30.0258175,-90.0011773,i3012318
554,30.0258175,-90.0011773,i3012318
569,30.0258175,-90.0011773,i3012318
584,30.0258175,-90.0011773,i3012318
599,30.0258175,-90.0011773,i3012318
644,30.0258175,-90.0011773,i3012318
659,30.0258175,-90.0011773,i3012318
674,30.0258175,-90.0011773,i3012318
689,30.0258175,-90.0011773,i3012318
704,30.0258175,-90.0011773,i3012318
719,30.0258175,-90.0011773,i3012318
734,29.9316704,-90.0174135,e3440418
744,29.9316704,-90.0174135,e3440418
784,29.9316704,-90.0174135,e3440418
794,29.9316704,-90.0174135,e3440418
834,29.9629228,-90.1240107,e2993818
839,29.9629228,-90.1240107,e2993818
844,29.9629228,-90.1240107,e2993818
849,29.9629228,-90.1240107,e2993818
859,29.9885897,-90.0620161,e3546518
862,29.9885897,-90.0620161,e3546518
865,29.9885897,-90.0620161,e3546518
870,29.9355522,-90.0246302,l3083618
872,29.9355522,-90.0246302,l3083618
892,29.9712212,-90.06295709999999,e1174018
893,29.936456,-90.026733,e0936618
920,29.9538711,-90.0698991,j0048918
922,29.9538711,-90.0698991,e3341218
928,29.9538711,-90.0698991,e3341218
934,29.9538711,-90.0698991,e3341218
940,29.9538711,-90.0698991,e3341218
946,29.9538711,-90.0698991,e3341218
952,29.9538711,-90.0698991,e3341218
958,29.969793,-90.1057635,g0605318
960,29.9581685,-90.097431,e3426018
961,29.9266718,-90.1008088,d1802618
962,29.9587961,-90.1172672,e3702318
968,29.967587,-90.086426,e3734218
969,29.9361026,-90.0851819,e3594018
973,29.9361026,-90.0851819,e3594018
977,29.9361026,-90.0851819,e3594018
981,29.9361026,-90.0851819,e3594018
985,29.9390577,-90.0945582,e0359818
991,29.9390577,-90.0945582,e0359818
997,29.9390577,-90.0945582,e0359818
1026,29.9292568,-90.0953593,f0217018
1027,29.9223387,-90.1078948,j3234618
1119,29.9547116,-90.069155,j0017618
1127,29.9547116,-90.069155,j0017618
1135,29.9587961,-90.1172672,f0298618
1137,29.9587961,-90.1172672,f0298618
1139,29.9690663,-90.0865692,f0706418
1141,29.9690663,-90.0865692,f0706418
1143,29.9350037,-90.0756419,d0482018
1147,29.9363219,-90.0776671,f0416318
1150,29.9363219,-90.0776671,f0416318
1153,29.9363219,-90.0776671,f0416318
1159,29.9934345,-90.0661722,e1634018
1161,29.9934345,-90.0661722,e1634018
1163,29.943336,-90.052053,i2519518
1169,29.943336,-90.052053,i2519518
1175,29.943336,-90.052053,i2519518
1181,29.943336,-90.052053,i2519518
1249,29.944997,-90.079105,j1637918
1255,29.944997,-90.079105,j1637918
1261,29.944997,-90.079105,j1637918
1273,29.944997,-90.079105,j1637918
1279,29.944997,-90.079105,j1637918
1285,29.9386892,-90.0890123,f0735718
1286,29.9547116,-90.069155,l1450018
1287,29.9182774,-90.0969793,h1426218
1291,29.9182774,-90.0969793,h1426218
1295,29.9182774,-90.0969793,h1426218
1299,29.9182774,-90.0969793,h1426218
1415,29.9537072,-90.0700564,i3802618
1416,29.9979087,-90.1718086,e3504018
1440,29.9776514,-90.0767059,f0810718
1446,29.9776514,-90.0767059,f0810718
1452,29.9776514,-90.0767059,f0810718
1458,29.9776514,-90.0767059,f0810718
1491,29.9547116,-90.069155,l3131718
1492,30.0761631,-89.8589764,d0385818
1493,29.9332312,-90.0841896,k0434418
1499,29.9332312,-90.0841896,k0434418
1502,29.944997,-90.079105,f1893318
1503,29.9621133,-90.0579654,g3861518
1504,29.9587961,-90.1172672,f2224418
1508,29.9587961,-90.1172672,f2224418
1512,29.9587961,-90.1172672,f2224418
1516,29.9587961,-90.1172672,f2224418
1520,29.9480868,-90.0641007,d2314518
1522,29.9480868,-90.0641007,d2314518
1524,29.9582195,-90.0725013,i3028518
1526,29.9582195,-90.0725013,i3028518
1528,29.9543101,-90.0709638,d0130418
1529,29.9584219,-90.0672537,f2360018
1534,29.9995709,-90.0811867,f0450618
1548,29.9547116,-90.069155,f2447018
1553,29.9619177,-90.1009019,j2281018
1555,29.9587961,-90.1172672,h0534718
1556,29.9590324,-90.0652928,f2851118
1576,29.9590324,-90.0652928,f2851118
1676,29.9590324,-90.0652928,f2851118
1696,29.9590324,-90.0652928,f2851118
1716,29.9590324,-90.0652928,f2851118
1736,29.9590324,-90.0652928,f2851118
1956,29.94648,-90.05227,f2709118
2028,29.94648,-90.05227,f2709118
2037,30.0414047,-89.9573265,j0224018
2039,30.0414047,-89.9573265,j0224018
2041,29.9547116,-90.069155,f2482118
2045,29.9547116,-90.069155,f2482118
2049,29.9547116,-90.069155,f2482118
2053,29.9547116,-90.069155,f2482118
2061,29.9321367,-90.0311723,f0007718
2062,29.9547116,-90.069155,g2701218
2066,29.9594343,-90.070663,g3539818
2074,29.9594343,-90.070663,g3539818
2082,29.96733,-90.06377599999999,f0753918
2083,29.9548559,-90.1033765,f2739918
2090,29.9587173,-90.0713213,h1491518
2093,29.9587173,-90.0713213,h1491518
2096,29.9587961,-90.1172672,e0403418
2132,29.9385231,-90.0236937,f2401818
2138,29.9594343,-90.070663,l2357418
2144,29.9538711,-90.0698991,f3642618
2213,29.974837,-90.053747,f3208918
2216,29.974837,-90.053747,f3208918
2219,29.974837,-90.053747,f3208918
2224,29.9260603,-90.0931549,l3354618
2226,29.9260603,-90.0931549,l3354618
2228,29.9547116,-90.069155,l0807718
2229,30.0308021,-89.9853646,h0476518
2231,30.0308021,-89.9853646,h0476518
2261,29.967587,-90.086426,g0598718
2264,29.967587,-90.086426,g0598718
2267,29.9942518,-90.0647933,g0569718
2270,29.9942518,-90.0647933,g0569718
2273,29.9942518,-90.0647933,g0569718
2276,29.9645701,-90.0617806,k2253118
2277,29.9254093,-90.0735938,g0821818
2298,29.9686455,-90.1040594,g0657618
2299,30.008589,-89.991871,f2722418
2302,30.008589,-89.991871,f2722418
2310,29.9647395,-90.0687916,f0323718
2312,29.9266718,-90.1008088,d0935218
2313,29.9530899,-90.0691537,g1141318
2316,29.9530899,-90.0691537,g1141318
2319,29.9530899,-90.0691537,g1141318
2322,29.9547116,-90.069155,g1144418
2327,29.9547116,-90.069155,g1144418
2332,29.9547116,-90.069155,g1144418
2337,29.9547116,-90.069155,g1144418
2342,29.9547116,-90.069155,g1144418
2347,29.9547116,-90.069155,f3637918
2350,29.9547116,-90.069155,f3637918
2353,29.9547116,-90.069155,f3637918
2356,29.9547116,-90.069155,g1035218
2359,29.9547116,-90.069155,g1035218
2362,29.9547116,-90.069155,g1035218
2365,29.9597484,-90.07114,g1300518
2367,29.9597484,-90.07114,g1300518
2369,29.959472,-90.06489429999999,g0362218
2373,29.959472,-90.06489429999999,g0362218
2381,29.959472,-90.06489429999999,g0362218
2385,29.9756799,-90.0460597,e3285818
2389,29.9756799,-90.0460597,e3285818
2393,29.9756799,-90.0460597,e3285818
2397,29.9756799,-90.0460597,e3285818
2406,29.975148,-90.090387,g1241018
2409,29.975148,-90.090387,g1241018
2412,29.965525,-90.0680776,f3052318
2414,29.9684843,-90.0840786,g1436618
2415,29.9547116,-90.069155,g1804718
2423,29.9392017,-90.0866475,f1313019
2430,29.9355767,-90.0803738,e2370818
2434,29.9718607,-90.03897,h1761918
2438,29.9718607,-90.03897,h1761918
2442,29.9718607,-90.03897,h1761918
2446,29.9718607,-90.03897,h1761918
2450,29.9310783,-90.0880207,g1970518
2452,29.9310783,-90.0880207,g1970518
2454,29.961054,-90.0347944,g1896118
2471,29.9648022,-90.0376197,g0080618
2473,29.9648022,-90.0376197,g0080618
2475,29.9563033,-90.0648438,f1443918
2477,29.9563033,-90.0648438,f1443918
2479,29.9131386,-89.9848599,f1581418
2483,29.9131386,-89.9848599,f1581418
2487,29.9131386,-89.9848599,f1581418
2491,29.9131386,-89.9848599,f1581418
2495,30.0154542,-90.0720876,j2371518
2496,29.9547116,-90.069155,g2027218
2499,29.9547116,-90.069155,g2027218
2514,29.927823,-90.098667,g2920518
2518,29.927823,-90.098667,g2920518
2522,29.927823,-90.098667,g2920518
2526,29.927823,-90.098667,g2920518
2530,29.9570331,-90.06707469999999,g2890918
2532,29.9570331,-90.06707469999999,g2890918
2534,29.9357438,-90.0791564,g0643518
2542,29.9357438,-90.0791564,g0643518
2550,29.982228,-90.040708,g2779718
2554,29.9570331,-90.06707469999999,f2097118
2556,29.9570331,-90.06707469999999,f2097118
2558,30.0153,-90.015753,j0884518
2559,29.9234419,-89.98405559999999,f2915418
2562,29.9234419,-89.98405559999999,f2915418
2565,29.9234419,-89.98405559999999,f2915418
2572,29.9547116,-90.069155,g3303718
2575,29.9547116,-90.069155,g3303718
2578,29.9547116,-90.069155,g3303718
2581,30.0677131,-89.9457507,g1683918
2588,30.0178418,-90.060975,g3314518
2598,30.0178418,-90.060975,g3314518
2603,30.0178418,-90.060975,g3314518
2608,29.9547116,-90.069155,g3065518
2611,29.9547116,-90.069155,g3065518
2614,29.9547116,-90.069155,g3065518
2617,29.9299243,-90.0184541,g2676618
2623,29.9723559,-90.0378715,g3149518
2626,29.9723559,-90.0378715,g3149518
2629,29.9723559,-90.0378715,g3149518
2632,29.9547116,-90.069155,j0708318
2652,29.9547116,-90.069155,j0708318
2672,29.9547116,-90.069155,j0708318
2692,29.9547116,-90.069155,j0708318
2712,29.9547116,-90.069155,j0708318
2732,29.9547116,-90.069155,j0708318
2772,29.9547116,-90.069155,j0708318
2792,29.9547116,-90.069155,j0708318
2812,29.9547116,-90.069155,j0708318
2832,29.9547116,-90.069155,j0708318
2852,29.9547116,-90.069155,j0708318
2872,29.9547116,-90.069155,j0708318
2892,29.9547116,-90.069155,j0708318
2912,29.9547116,-90.069155,j0708318
2932,29.9547116,-90.069155,j0708318
2992,29.9547116,-90.069155,j0708318
3012,29.9547116,-90.069155,j0708318
3032,29.91753199999999,-90.0084277,e3040118
3035,29.91753199999999,-90.0084277,e3040118
3041,29.970353,-90.037182,g1765818
3047,29.9531353,-90.1359694,j0328918
3085,29.9527404,-90.0709217,e1472918
3086,29.9578324,-90.066373,g3045718
3087,29.9540932,-90.06824329999999,g1910918
3089,30.0471757,-89.965504,f1921018
3839,30.0471757,-89.965504,f1921018
4089,30.0471757,-89.965504,f1921018
4339,30.0471757,-89.965504,f1921018
4589,30.0471757,-89.965504,f1921018
5589,29.9299243,-90.0184541,g3731318
5592,29.9299243,-90.0184541,g3731318
5598,29.9380076,-90.0413713,g3506618
5599,29.9803594,-90.0814826,j0979518
5601,29.9803594,-90.0814826,j0979518
5603,30.0472749,-89.96219789999999,g3180518
5620,30.0454459,-89.9797872,g3205618
5623,30.0454459,-89.9797872,g3205618
