,occurred_date_time,latitude,longitude,hour,item_number,occurred_date,occurred_time
4,2018-01-26 02:00:00,29.9658235,-90.03638149999999,2,e1274818,2018-01-26,02:00:00
5,2018-01-26 02:00:00,30.0721789,-89.9435642,2,l2194418,2018-01-26,02:00:00
9,2018-01-26 02:00:00,30.0721789,-89.9435642,2,l2194418,2018-01-26,02:00:00
13,2018-01-26 02:00:00,30.0721789,-89.9435642,2,l2194418,2018-01-26,02:00:00
24,2018-03-28 04:00:00,29.9809617,-90.1139965,4,g3552218,2018-03-28,04:00:00
32,2018-03-29 01:47:00,29.98787,-90.06428,1,h1008618,2018-03-29,01:47:00
37,2018-04-01 04:30:00,29.98787,-90.06428,4,h1008618,2018-04-01,04:30:00
47,2018-04-02 01:00:00,29.98787,-90.06428,1,h1008618,2018-04-02,01:00:00
52,2018-04-02 03:00:00,29.98787,-90.06428,3,h1008618,2018-04-02,03:00:00
57,2018-04-03 23:40:00,29.9921256,-90.0541057,23,d2635218,2018-04-03,23:40:00
64,2018-04-04 02:30:00,29.9921256,-90.0541057,2,d2635218,2018-04-04,02:30:00
71,2018-04-04 02:30:00,29.9921256,-90.0541057,2,d2635218,2018-04-04,02:30:00
78,2018-04-04 03:00:00,29.9921256,-90.0541057,3,d2635218,2018-04-04,03:00:00
85,2018-04-04 22:40:00,29.9921256,-90.0541057,22,d2635218,2018-04-04,22:40:00
99,2018-04-07 01:35:00,29.9921256,-90.0541057,1,d2635218,2018-04-07,01:35:00
115,2018-04-09 05:43:00,29.9547116,-90.069155,5,e1315118,2018-04-09,05:43:00
127,2018-04-09 21:00:00,29.9547116,-90.069155,21,e1315118,2018-04-09,21:00:00
133,2018-04-09 21:00:00,29.9547116,-90.069155,21,e1315118,2018-04-09,21:00:00
178,2018-04-11 21:05:00,29.9427937,-90.0947769,21,l2059318,2018-04-11,21:05:00
179,2018-04-11 21:15:00,30.0091673,-90.0838176,21,d0076618,2018-04-11,21:15:00
180,2018-04-13 01:20:00,29.9528225,-90.06636460000001,1,i0222118,2018-04-13,01:20:00
185,2018-04-13 01:20:00,29.9528225,-90.06636460000001,1,i0222118,2018-04-13,01:20:00
190,2018-04-13 02:50:00,29.9528225,-90.06636460000001,2,i0222118,2018-04-13,02:50:00
195,2018-04-13 04:42:00,29.9528225,-90.06636460000001,4,i0222118,2018-04-13,04:42:00
200,2018-04-13 04:42:00,29.9528225,-90.06636460000001,4,i0222118,2018-04-13,04:42:00
205,2018-04-13 23:05:00,29.961054,-90.0347944,23,h0551318,2018-04-13,23:05:00
331,2018-04-15 22:42:00,29.94531,-90.022219,22,i3348818,2018-04-15,22:42:00
337,2018-04-17 04:00:00,29.9043332,-89.9923507,4,l2198518,2018-04-17,04:00:00
357,2018-04-17 20:10:00,29.9599205,-90.0113436,20,i3688518,2018-04-17,20:10:00
359,2018-04-17 20:10:00,29.9599205,-90.0113436,20,i3688518,2018-04-17,20:10:00
361,2018-04-17 20:10:00,29.9404877,-90.0202054,20,d2674818,2018-04-17,20:10:00
363,2018-04-17 22:25:00,29.9404877,-90.0202054,22,d2674818,2018-04-17,22:25:00
365,2018-04-17 22:25:00,30.0127901,-90.0195342,22,i1890818,2018-04-17,22:25:00
374,2018-04-18 01:00:00,29.9547116,-90.069155,1,l2935618,2018-04-18,01:00:00
378,2018-04-18 04:52:00,29.9547116,-90.069155,4,l2935618,2018-04-18,04:52:00
382,2018-04-18 04:52:00,29.9707601,-90.0795922,4,e0492218,2018-04-18,04:52:00
388,2018-04-18 22:15:00,29.967587,-90.086426,22,e1960018,2018-04-18,22:15:00
392,2018-04-19 19:55:00,29.967587,-90.086426,19,e1960018,2018-04-19,19:55:00
405,2018-04-21 01:50:00,29.9776514,-90.0767059,1,e2595018,2018-04-21,01:50:00
406,2018-04-21 01:50:00,30.027116,-89.992026,1,d2292318,2018-04-21,01:50:00
407,2018-04-21 04:00:00,29.9784841,-90.0838403,4,e0304218,2018-04-21,04:00:00
408,2018-04-21 04:00:00,29.9898281,-90.0715699,4,e2521818,2018-04-21,04:00:00
409,2018-04-21 04:00:00,29.9362305,-90.1183137,4,e2605718,2018-04-21,04:00:00
415,2018-04-21 04:00:00,29.9362305,-90.1183137,4,e2605718,2018-04-21,04:00:00
421,2018-04-21 04:00:00,29.9362305,-90.1183137,4,e2605718,2018-04-21,04:00:00
427,2018-04-21 04:00:00,29.9362305,-90.1183137,4,e2605718,2018-04-21,04:00:00
439,2018-04-22 01:45:00,29.9362305,-90.1183137,1,e2605718,2018-04-22,01:45:00
445,2018-04-22 01:45:00,30.055529,-89.95895999999999,1,i3314318,2018-04-22,01:45:00
449,2018-04-22 02:45:00,30.055529,-89.95895999999999,2,i3314318,2018-04-22,02:45:00
473,2018-04-22 22:10:00,29.9984885,-90.0500148,22,e2774718,2018-04-22,22:10:00
477,2018-04-22 22:10:00,29.9984885,-90.0500148,22,e2774718,2018-04-22,22:10:00
481,2018-04-22 22:10:00,29.9984885,-90.0500148,22,e2774718,2018-04-22,22:10:00
485,2018-04-22 23:20:00,29.9984885,-90.0500148,23,e2774718,2018-04-22,23:20:00
489,2018-04-22 23:20:00,29.9392017,-90.0866475,23,e2827218,2018-04-22,23:20:00
491,2018-04-23 01:00:00,29.9392017,-90.0866475,1,e2827218,2018-04-23,01:00:00
493,2018-04-23 02:00:00,30.027116,-89.992026,2,i2115918,2018-04-23,02:00:00
497,2018-04-23 02:00:00,30.027116,-89.992026,2,i2115918,2018-04-23,02:00:00
505,2018-04-24 19:36:00,30.027116,-89.992026,19,i2115918,2018-04-24,19:36:00
509,2018-04-24 19:36:00,30.0258175,-90.0011773,19,i3012318,2018-04-24,19:36:00
524,2018-04-24 19:36:00,30.0258175,-90.0011773,19,i3012318,2018-04-24,19:36:00
539,2018-04-25 01:47:00,30.0258175,-90.0011773,1,i3012318,2018-04-25,01:47:00
554,2018-04-25 01:47:00,30.0258175,-90.0011773,1,i3012318,2018-04-25,01:47:00
569,2018-04-25 01:47:00,30.0258175,-90.0011773,1,i3012318,2018-04-25,01:47:00
584,2018-04-25 21:17:00,30.0258175,-90.0011773,21,i3012318,2018-04-25,21:17:00
599,2018-04-25 21:17:00,30.0258175,-90.0011773,21,i3012318,2018-04-25,21:17:00
644,2018-04-26 23:25:00,30.0258175,-90.0011773,23,i3012318,2018-04-26,23:25:00
659,2018-04-26 23:25:00,30.0258175,-90.0011773,23,i3012318,2018-04-26,23:25:00
674,2018-04-26 23:25:00,30.0258175,-90.0011773,23,i3012318,2018-04-26,23:25:00
689,2018-04-26 23:25:00,30.0258175,-90.0011773,23,i3012318,2018-04-26,23:25:00
704,2018-04-28 01:00:00,30.0258175,-90.0011773,1,i3012318,2018-04-28,01:00:00
719,2018-04-28 01:00:00,30.0258175,-90.0011773,1,i3012318,2018-04-28,01:00:00
734,2018-04-28 01:45:00,29.9316704,-90.0174135,1,e3440418,2018-04-28,01:45:00
744,2018-04-28 01:45:00,29.9316704,-90.0174135,1,e3440418,2018-04-28,01:45:00
784,2018-04-28 01:45:00,29.9316704,-90.0174135,1,e3440418,2018-04-28,01:45:00
794,2018-04-28 01:45:00,29.9316704,-90.0174135,1,e3440418,2018-04-28,01:45:00
834,2018-04-28 01:45:00,29.9629228,-90.1240107,1,e2993818,2018-04-28,01:45:00
839,2018-04-28 01:45:00,29.9629228,-90.1240107,1,e2993818,2018-04-28,01:45:00
844,2018-04-28 01:45:00,29.9629228,-90.1240107,1,e2993818,2018-04-28,01:45:00
849,2018-04-28 01:45:00,29.9629228,-90.1240107,1,e2993818,2018-04-28,01:45:00
859,2018-04-28 01:45:00,29.9885897,-90.0620161,1,e3546518,2018-04-28,01:45:00
862,2018-04-28 01:45:00,29.9885897,-90.0620161,1,e3546518,2018-04-28,01:45:00
865,2018-04-28 04:30:00,29.9885897,-90.0620161,4,e3546518,2018-04-28,04:30:00
870,2018-04-29 01:50:00,29.9355522,-90.0246302,1,l3083618,2018-04-29,01:50:00
872,2018-04-29 03:03:00,29.9355522,-90.0246302,3,l3083618,2018-04-29,03:03:00
892,2018-05-03 02:00:00,29.9712212,-90.06295709999999,2,e1174018,2018-05-03,02:00:00
893,2018-05-03 06:50:00,29.936456,-90.026733,6,e0936618,2018-05-03,06:50:00
920,2018-05-03 21:11:00,29.9538711,-90.0698991,21,j0048918,2018-05-03,21:11:00
922,2018-05-03 21:11:00,29.9538711,-90.0698991,21,e3341218,2018-05-03,21:11:00
928,2018-05-03 23:34:00,29.9538711,-90.0698991,23,e3341218,2018-05-03,23:34:00
934,2018-05-03 23:34:00,29.9538711,-90.0698991,23,e3341218,2018-05-03,23:34:00
940,2018-05-03 23:50:00,29.9538711,-90.0698991,23,e3341218,2018-05-03,23:50:00
946,2018-05-03 23:50:00,29.9538711,-90.0698991,23,e3341218,2018-05-03,23:50:00
952,2018-05-03 23:50:00,29.9538711,-90.0698991,23,e3341218,2018-05-03,23:50:00
958,2018-05-03 23:50:00,29.969793,-90.1057635,23,g0605318,2018-05-03,23:50:00
960,2018-05-05 02:30:00,29.9581685,-90.097431,2,e3426018,2018-05-05,02:30:00
961,2018-05-05 04:00:00,29.9266718,-90.1008088,4,d1802618,2018-05-05,04:00:00
962,2018-05-05 04:48:00,29.9587961,-90.1172672,4,e3702318,2018-05-05,04:48:00
968,2018-05-06 02:00:00,29.967587,-90.086426,2,e3734218,2018-05-06,02:00:00
969,2018-05-06 02:00:00,29.9361026,-90.0851819,2,e3594018,2018-05-06,02:00:00
973,2018-05-06 02:00:00,29.9361026,-90.0851819,2,e3594018,2018-05-06,02:00:00
977,2018-05-06 03:00:00,29.9361026,-90.0851819,3,e3594018,2018-05-06,03:00:00
981,2018-05-06 03:30:00,29.9361026,-90.0851819,3,e3594018,2018-05-06,03:30:00
985,2018-05-06 03:30:00,29.9390577,-90.0945582,3,e0359818,2018-05-06,03:30:00
991,2018-05-06 03:30:00,29.9390577,-90.0945582,3,e0359818,2018-05-06,03:30:00
997,2018-05-06 03:30:00,29.9390577,-90.0945582,3,e0359818,2018-05-06,03:30:00
1026,2018-05-09 02:33:00,29.9292568,-90.0953593,2,f0217018,2018-05-09,02:33:00
1027,2018-05-09 21:00:00,29.9223387,-90.1078948,21,j3234618,2018-05-09,21:00:00
1119,2018-05-12 03:30:00,29.9547116,-90.069155,3,j0017618,2018-05-12,03:30:00
1127,2018-05-12 03:30:00,29.9547116,-90.069155,3,j0017618,2018-05-12,03:30:00
1135,2018-05-12 05:22:00,29.9587961,-90.1172672,5,f0298618,2018-05-12,05:22:00
1137,2018-05-12 05:45:00,29.9587961,-90.1172672,5,f0298618,2018-05-12,05:45:00
