item_number,Signal Code
C-35328-18,108
C-35797-18,20
D-00766-18,67A
D-03858-18,34s
D-04480-18,67A
D-05395-18,67p
C-13060-18,20
C-35479-18,67P
D-01304-18,65
D-04820-18,64
D-07011-18,107
D-07273-18,20I
D-07909-18,64
D-08298-18,39
D-09813-18,20I
D-10315-18,100
D-10227-18,37
D-01738-18,51B
D-10629-18,20
D-09352-18,67A
D-00243-18,65
D-11667-18,20
D-11711-18,34s
D-00164-18,100F
D-01292-18,64G
D-12347-18,103
D-12854-18,103F
D-11711-18,34-S
D-12942-18,65
D-12988-18,20
D-12942-18,65
D-10874-18,64G
D-13689-18,103 F
D-13367-18,103 M
D-14825-18,35
D-14863-18,35
D-14933-18,94
D-15410-18,20
D-15344-18,20
D-15774-18,20
D-16183-18,103F
D-15791-18,103F
D-15791-18,103F
D-15948-18,107
D-15994-18,966
D-16900-18,94
D-17559-18,34s
D-17834-18,20I
D-18035-18,20
D-16048-18,21
D-18645-18,107
D-19421-18,34-S
D-19866-18,107
D-19739-18,21
D-10016-18,65
D-11711-18,34-S
D-11711-18,34S
D-04995-18,67A
D-20602-18,65
D-20308-18,67J
D-21244-18,20I
D-19721-18,62c
D-21287-18,64J
D-21349-18,30S
D-20459-18,95
D-21811-18,67A
D-22394-18,20
D-20602-18,65
D-20771-18,30s
D-20459-18,966
D-22950-18,21
D-22923-18,64G
D-23576-18,56
D-23744-18,107
D-23145-18,67
C-36074-18,43
D-25273-18,101-I
D-25771-18,103D
D-25813-18,67
D-16048-18,21
D-24812-18,56
D-26182-18,34S
D-26735-18,20
D-26690-18,64G
D-26852-18,64G
D-26930-18,52F
D-13042-18,67A
D-26822-18,64
D-26352-18,34S
D-26748-18,64J
D-28499-18,20
D-28590-18,67A
D-28993-18,34C
D-29320-18,103
D-29658-18,20
D-25707-18,64G
D-10016-18,65
D-14843-18,35
D-18026-18,64G
D-30423-18,67S
D-30743-18,20
D-31469-18,38
D-29788-18,34
D-10016-18,65
D-31893-18,64G
D-20554-18,20 I/F
D-33560-18,21
D-34305-18,20
D-34376-18,20I
D-34688-18,103F
D-34644-18,21
D-16048-18,21
D-34168-18,64G
D-35459-18,56
D-35873-18,20 I
D-16048-18,21
D-33572-18,62C
D-36008-18,103
D-24671-18,64
D-34458-18,65
D-34458-18,65
D-33749-18,65
D-25704-18,64 G
E-00011-18,64G
D-31735-18,80
E-00989-18,100
B-20607-18,30S
E-01758-18,20
D-34168-18,64G
E-01914-18,966
E-03598-18,103F
E-03898-18,20
E-03787-18,67A
E-04046-18,21
E-04038-18,67P
E-02795-18,64G
E-04922-18,21
E-05713-18,103
E-06293-18,34S
E-06851-18,34S
D-20701-18,65
E-07169-18,20
E-03042-18,64G
E-07279-18,20
E-07537-18,65
E-07729-18,20-I
E-05084-18,62C
E-08572-18,20
E-09274-18,20
E-09366-18,94
D-28125-18,100
E-07213-18,67
E-09941-18,20
E-06918-18,27-64G
E-09824-18,67A
E-05673-18,65P
E-06827-18,100
E-11548-18,20
E-11740-18,65J
E-11823-18,103F
P-00125-18,67P
E-21616-18,21-P
E-12798-18,21
E-13151-18,103-F
E-13158-18,20
E-13734-18,24
E-13883-18,20X
