item_number,location
g3735219,"4400 MIRABEAU ST, New Orleans, Louisiana"
g3735219,"4400 MIRABEAU ST, New Orleans, Louisiana"
g3735219,"4400 MIRABEAU ST, New Orleans, Louisiana"
g3735219,"4400 MIRABEAU ST, New Orleans, Louisiana"
g3735219,"4400 MIRABEAU ST, New Orleans, Louisiana"
g3735219,"4400 MIRABEAU ST, New Orleans, Louisiana"
g3790819,"1918 N BROAD ST, New Orleans, Louisiana"
g3790819,"1918 N BROAD ST, New Orleans, Louisiana"
g3796419,"500 TOULOUSE ST, New Orleans, Louisiana"
g3796419,"500 TOULOUSE ST, New Orleans, Louisiana"
g3796419,"500 TOULOUSE ST, New Orleans, Louisiana"
g3796419,"500 TOULOUSE ST, New Orleans, Louisiana"
g3800919,"3816 S INWOOD AV, New Orleans, Louisiana"
g3800919,"3816 S INWOOD AV, New Orleans, Louisiana"
g3800919,"3816 S INWOOD AV, New Orleans, Louisiana"
g3812319,"400 bourbon ST, New Orleans, Louisiana"
g3812319,"400 bourbon ST, New Orleans, Louisiana"
g3832319,"612 HOMEDALE ST, New Orleans, Louisiana"
g3875519,"1100 SAINT PHILIP ST, New Orleans, Louisiana"
g3885519,"1127 SAINT PHILIP ST, New Orleans, Louisiana"
g3928219,"LEE CIRCLE ST & ANDREW HIGGINS ST, New Orleans, Louisiana"
g3928219,"LEE CIRCLE ST & ANDREW HIGGINS ST, New Orleans, Louisiana"
g3928219,"LEE CIRCLE ST & ANDREW HIGGINS ST, New Orleans, Louisiana"
g3928219,"LEE CIRCLE ST & ANDREW HIGGINS ST, New Orleans, Louisiana"
g3931319,"3200 SAINT CLAUDE AV, New Orleans, Louisiana"
g4011519,"4840 GENERAL MEYER AV, New Orleans, Louisiana"
g4011519,"4840 GENERAL MEYER AV, New Orleans, Louisiana"
g4033719,"2500 SAINT PETER ST, New Orleans, Louisiana"
g4073119,"3000 OLIVER WHITE AV, New Orleans, Louisiana"
g4073119,"3000 OLIVER WHITE AV, New Orleans, Louisiana"
g4106519,"3100 MAGAZINE ST, New Orleans, Louisiana"
g4106519,"3100 MAGAZINE ST, New Orleans, Louisiana"
g4106519,"3100 MAGAZINE ST, New Orleans, Louisiana"
g4156019,"N BROAD ST & HOPE ST, New Orleans, Louisiana"
g4232619,"3235 DERBY PL, New Orleans, Louisiana"
g4287119,"4700 FRANCIS DR, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
g4337019,"1200  saint philip ST, New Orleans, Louisiana"
h0001319,"JACKSON AV & ST CHARLES AV, New Orleans, Louisiana"
h0005219,"2100 CHARTRES ST, New Orleans, Louisiana"
h0005819,"1400  CLARA ST, New Orleans, Louisiana"
h0005819,"1400  CLARA ST, New Orleans, Louisiana"
h0012419,"116 BOURBON ST, New Orleans, Louisiana"
h0016819,"1400 N CLAIBORNE AV, New Orleans, Louisiana"
h0116019,"1400 SAINT BERNARD AV, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0117719,"CANAL ST & S RAMPART ST, New Orleans, Louisiana"
h0139419,"AUBRY ST & N ROCHEBLAVE ST, New Orleans, Louisiana"
h0139419,"AUBRY ST & N ROCHEBLAVE ST, New Orleans, Louisiana"
h0139419,"AUBRY ST & N ROCHEBLAVE ST, New Orleans, Louisiana"
h0139419,"AUBRY ST & N ROCHEBLAVE ST, New Orleans, Louisiana"
h0139419,"AUBRY ST & N ROCHEBLAVE ST, New Orleans, Louisiana"
h0139419,"AUBRY ST & N ROCHEBLAVE ST, New Orleans, Louisiana"
h0139419,"AUBRY ST & N ROCHEBLAVE ST, New Orleans, Louisiana"
h0139419,"AUBRY ST & N ROCHEBLAVE ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0163419,"400  BOURBON ST, New Orleans, Louisiana"
h0164819,"723 CANAL ST, New Orleans, Louisiana"
h0272019,"3526 PITTARI PL, New Orleans, Louisiana"
h0289919,"SAINT FERDINAND ST & BENEFIT ST, New Orleans, Louisiana"
h0347919,"337 CHARTRES ST, New Orleans, Louisiana"
h0366819,"4312 S DORGENOIS ST, New Orleans, Louisiana"
h0408619,"601 OPELOUSAS ST, New Orleans, Louisiana"
h0415219,"1700 MARTIN LUTHER KING JR BD, New Orleans, Louisiana"
h0434519,"CANAL ST & ELK PL, New Orleans, Louisiana"
h0434519,"CANAL ST & ELK PL, New Orleans, Louisiana"
h0434519,"CANAL ST & ELK PL, New Orleans, Louisiana"
h0434519,"CANAL ST & ELK PL, New Orleans, Louisiana"
h0434519,"CANAL ST & ELK PL, New Orleans, Louisiana"
