item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_race,offender_gender,offender_age,offender_number,person_type,victim_race,victim_gender,victim_age,victim_number,victim_fatal_status,hate_crime,report_type,year,offenderid,offenderstatus,persontype,Signal Code
D-20771-18,2,36XX S Roman St,CLOSED,30S,HOMICIDE (SHOOTING),2018-04-18 04:52:00,14 (27) 30.1,ATTEMPT - SECOND DEGREEMURDER,BLACK,MALE,51.0,1.0,VICTIM,,,,2.0,Non-fatal,,Supplemental Report,2018,,,,30s
D-20771-18,2,36XX S Roman St,CLOSED,30S,HOMICIDE (SHOOTING),2018-04-18 04:52:00,14 30.1,SECOND DEGREE MURDER,BLACK,MALE,51.0,1.0,VICTIM,,,,1.0,Fatal,,Supplemental Report,2018,,,,30s
E-12748-18,5,Saint Claude Av & Alvar St,OPEN,30S,HOMICIDE (SHOOTING),2018-05-10 18:07:00,14 30,FIRST DEGREE MURDER,,,,1.0,VICTIM,BLACK,MALE,,1.0,Fatal,,Incident Report,2018,,,,30
L-21944-18,7,78XX Sun St,OPEN,30S,HOMICIDE (SHOOTING),2018-12-17 13:57:00,,,,,,1.0,REPORTING PERSON,BLACK,MALE,56.0,2.0,Non-fatal,,Supplemental Report,2018,,,,30S
L-21944-18,7,78XX Sun St,OPEN,30S,HOMICIDE (SHOOTING),2018-12-17 13:57:00,,,,,,1.0,REPORTING PERSON,BLACK,MALE,56.0,2.0,Non-fatal,,Supplemental Report,2018,,,,30
L-21944-18,7,78XX Sun St,OPEN,30S,HOMICIDE (SHOOTING),2018-12-17 13:57:00,14 55,AGG. CRIMINAL DAMAGE,,,,1.0,VICTIM,BLACK,FEMALE,72.0,1.0,Non-fatal,,Supplemental Report,2018,,,,30S
L-21944-18,7,78XX Sun St,OPEN,30S,HOMICIDE (SHOOTING),2018-12-17 13:57:00,14 55,AGG. CRIMINAL DAMAGE,,,,1.0,VICTIM,BLACK,FEMALE,72.0,1.0,Non-fatal,,Supplemental Report,2018,,,,30
J-32379-18,6,31XX Louisiana Avenue Pw,CLOSED,67A,AUTO THEFT,2018-10-26 11:30:00,,,,,,,,,,,,Non-fatal,,Supplemental Report,2018,,,,107
G-35522-18,3,Metairie Rd & City Park Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-07-28 22:00:00,14 34.7,AGG. SECOND DEGREE BATTERY,BLACK,MALE,29.0,1.0,VICTIM,BLACK,FEMALE,44.0,1.0,Non-fatal,,Supplemental Report,2018,,,,34S
G-35522-18,3,Metairie Rd & City Park Av,CLOSED,34S,AGGRAVATED BATTERY (SHOOTING),2018-07-28 22:00:00,,,BLACK,MALE,29.0,1.0,WITNESS,BLACK,MALE,43.0,2.0,Non-fatal,,Supplemental Report,2018,,,,34S
