hour,district,rtcc_requested,rtcc_requested
0,1,1,60
0,2,1,63
0,3,1,46
0,4,1,40
0,5,1,49
0,6,1,49
0,7,1,75
0,8,1,129
1,1,1,81
1,2,1,56
1,3,1,55
1,4,1,54
1,5,1,61
1,6,1,37
1,7,1,94
1,8,1,174
2,1,1,70
2,2,1,46
2,3,1,46
2,4,1,38
2,5,1,48
2,6,1,44
2,7,1,66
2,8,1,186
3,1,1,64
3,2,1,49
3,3,1,45
3,4,1,37
3,5,1,37
3,6,1,51
3,7,1,63
3,8,1,153
4,1,1,47
4,2,1,47
4,3,1,29
4,4,1,31
4,5,1,46
4,6,1,38
4,7,1,45
4,8,1,115
5,1,1,34
5,2,1,20
5,3,1,18
5,4,1,19
5,5,1,15
5,6,1,28
5,7,1,22
5,8,1,62
6,1,1,24
6,2,1,25
6,3,1,21
6,4,1,25
6,5,1,18
6,6,1,17
6,7,1,31
6,8,1,44
7,1,1,29
7,2,1,18
7,3,1,22
7,4,1,12
7,5,1,15
7,6,1,22
7,7,1,17
7,8,1,47
8,1,1,27
8,2,1,11
8,3,1,33
8,4,1,17
8,5,1,18
8,6,1,28
8,7,1,23
8,8,1,57
9,1,1,29
9,2,1,23
9,3,1,33
9,4,1,12
9,5,1,22
9,6,1,20
9,7,1,33
9,8,1,62
10,1,1,49
10,2,1,34
10,3,1,29
10,4,1,26
10,5,1,47
10,6,1,45
10,7,1,50
10,8,1,80
11,1,1,58
11,2,1,37
11,3,1,37
11,4,1,37
11,5,1,36
11,6,1,36
11,7,1,57
11,8,1,100
12,1,1,59
12,2,1,34
12,3,1,20
12,4,1,34
12,5,1,29
12,6,1,47
12,7,1,46
12,8,1,84
13,1,1,41
13,2,1,39
13,3,1,18
13,4,1,21
13,5,1,31
13,6,1,15
13,7,1,39
13,8,1,83
14,1,1,60
14,2,1,32
14,3,1,31
14,4,1,37
14,5,1,38
14,6,1,40
14,7,1,49
14,8,1,95
15,1,1,58
15,2,1,39
15,3,1,35
15,4,1,38
15,5,1,49
15,6,1,48
15,7,1,47
15,8,1,112
16,1,1,48
16,2,1,48
16,3,1,40
16,4,1,41
16,5,1,52
16,6,1,49
16,7,1,57
16,8,1,98
17,1,1,89
17,2,1,46
17,3,1,38
17,4,1,37
17,5,1,51
17,6,1,41
17,7,1,78
17,8,1,131
18,1,1,69
18,2,1,53
18,3,1,29
18,4,1,45
18,5,1,52
18,6,1,38
18,7,1,65
18,8,1,123
19,1,1,83
19,2,1,36
19,3,1,43
19,4,1,40
19,5,1,69
19,6,1,44
19,7,1,77
19,8,1,133
20,1,1,54
20,2,1,65
20,3,1,48
20,4,1,39
20,5,1,41
20,6,1,62
20,7,1,58
20,8,1,163
21,1,1,45
21,2,1,58
21,3,1,39
21,4,1,66
21,5,1,43
21,6,1,51
21,7,1,69
21,8,1,133
22,1,1,50
22,2,1,39
22,3,1,43
22,4,1,58
22,5,1,53
22,6,1,34
22,7,1,73
22,8,1,127
23,1,1,64
23,2,1,43
23,3,1,39
23,4,1,58
23,5,1,57
23,6,1,59
23,7,1,75
23,8,1,172
