,latitude,longitude,item_number
0,29.9488665,-90.0893422,d2077118
2,29.9488665,-90.0893422,d2077118
17,30.0721789,-89.9435642,l2194418
21,29.9293911,-90.0920491,j3237918
22,29.9809617,-90.1139965,g3552218
26,29.9538224,-90.0892731,e0567318
27,29.9799705,-90.0404911,e1466618
29,29.9799705,-90.0404911,e1466618
31,29.9547116,-90.069155,i3041618
42,29.98787,-90.06428,h1008618
92,29.9921256,-90.0541057,d2635218
106,29.9670716,-90.0179487,e1605118
107,29.944205,-90.08645,e1373418
108,29.9547116,-90.069155,e0571318
109,29.9547116,-90.069155,e1315118
121,29.9547116,-90.069155,e1315118
139,29.9547116,-90.069155,e1315118
145,29.9352628,-90.0787053,e1480918
149,29.9352628,-90.0787053,e1480918
153,29.9352628,-90.0787053,e1480918
157,29.9352628,-90.0787053,e1480918
161,29.964377,-90.040264,l3404618
163,29.964377,-90.040264,l3404618
165,29.9621978,-90.06700409999999,i3615518
167,29.9621978,-90.06700409999999,i3615518
169,29.9151582,-89.9929658,e1518618
173,29.9266718,-90.1008088,e1601818
175,29.9266718,-90.1008088,e1601818
177,29.9768501,-90.0717871,i3544218
232,29.961054,-90.0347944,h0551318
259,29.961054,-90.0347944,h0551318
286,29.9280449,-90.02920639999999,e2076018
288,29.9280449,-90.02920639999999,e2076018
290,30.0151117,-90.0101641,h3810018
296,30.0151117,-90.0101641,h3810018
302,30.0151117,-90.0101641,h3810018
308,30.0151117,-90.0101641,h3810018
314,30.0151117,-90.0101641,h3810018
320,30.0151117,-90.0101641,h3810018
326,29.9547116,-90.069155,i2174418
328,29.9547116,-90.069155,i2174418
330,30.0761631,-89.8589764,d2055418
332,29.9043332,-89.9923507,l2198518
342,29.9043332,-89.9923507,l2198518
347,29.9043332,-89.9923507,l2198518
352,29.9043332,-89.9923507,l2198518
366,29.9547116,-90.069155,l2935618
370,29.9547116,-90.069155,l2935618
384,29.9707601,-90.0795922,e0492218
386,29.9809261,-90.0814592,d2570418
387,30.0318331,-90.0019775,e0378718
396,29.967587,-90.086426,e1960018
400,29.967587,-90.086426,e1960018
404,29.9547116,-90.069155,e2682518
433,29.9362305,-90.1183137,e2605718
453,30.055529,-89.95895999999999,i3314318
457,30.055529,-89.95895999999999,i3314318
461,29.970529,-90.1204105,i1076318
462,29.9547116,-90.069155,e2470318
463,29.9718607,-90.03897,d2859018
464,29.9547116,-90.069155,l0288518
466,29.9547116,-90.069155,l0288518
468,30.013297,-90.0747578,d2128718
469,29.9587961,-90.1172672,i3512618
471,29.9587961,-90.1172672,i3512618
